"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-04-06";"4/6/2018";"11:00";892,822,818;Cambuí;Filipe;Amaro;"5";true;true;true;false;true;false;false;false;false;ótimo prédio e apartamento!
"2018-04-06";"2018-04-06";"8:30";892,802,847;Cambuí;Filipe;Wesley;"5";false;true;true;false;true;false;false;false;false;
"2018-04-06";"2018-04-06";"11:15";892,819,333;Barra da Tijuca;Roberta;Thiago;"2";false;false;false;false;false;true;false;false;false;
"2018-04-06";"4/6/2018";"10:15";892,825,280;Perdizes;Homero;Sergio;"1";false;false;false;false;false;false;false;true;true;Apartamento não condizia com anúncio
"2018-04-06";"4/6/2018";"10:45";892,824,705;Vila Mariana;Homero;Nilton;"4";false;false;false;false;false;false;false;false;false;Preço
"2018-04-06";"2018-04-06";"10:15";892,815,677;Bela Vista;Arthur;Luiz;"5";false;false;false;false;true;false;false;false;false;
"2018-04-06";"2018-04-06";"12:15";892,804,142;Liberdade;Mariana;Ricardo;"5";false;true;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"12:00";892,821,705;Barra da Tijuca;Walmir;Fabiana;"5";false;false;false;false;true;false;false;false;false;
"2018-04-06";"4/6/2018";"12:15";892,816,075;Perdizes;Homero;Sergio;"1";false;false;false;false;false;false;true;false;false;Imóvel em mal estado de conservação. Elétrica, piso e outras partes bem desgastadas
"2018-04-06";"2018-04-06";"9:00";892,783,652;Vila Alexandria;Gabriel;Pedro;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"11:30";892,782,355;Vila Clementino;Bruno;Ibiratan;"3";false;false;false;false;false;false;false;false;false;Prédio estranho
"2018-04-06";"4/6/2018";"13:15";892,824,711;Flamengo;Mauro;Jose;"3";false;false;false;false;false;false;true;false;false;Proprietária quer deixar utensílios de uso pessoal na cozinha... pratos, copos e talheres.
"2018-04-06";"2018-04-06";"13:30";892,817,671;Alto da Mooca;José;Leandro;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"12:45";892,824,801;Vila da Saúde;Luis;Wesley;"5";false;true;true;true;false;false;false;false;false;
"2018-04-06";"2018-04-06";"10:30";892,794,886;Vila Suzana;Ronaldo;Edson;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"13:15";892,824,711;Flamengo;Bruno;Jose;"4";false;false;false;false;false;false;false;false;false;nada a declarar
"2018-04-06";"2018-04-06";"14:00";892,795,545;Vila Leopoldina;Fábio;Camila;"4";false;false;false;false;false;false;true;false;false;
"2018-04-06";"4/6/2018";"10:00";892,821,589;Perdizes;Tayssa;Douglas;"3";false;false;false;false;false;false;false;true;false;Está em construção ainda.
"2018-04-06";"2018-04-06";"10:00";892,822,086;Bela Vista;Fabio;Carlos;"5";false;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"15:00";892,814,921;Jardim Paulista;Lincoln;Marco;"5";false;false;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"16:00";892,811,943;Jardim Paulista;Aline;Rubens;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"12:45";892,814,832;Consolação;Vera;Walter;"5";true;false;false;false;true;false;false;false;false;
"2018-04-06";"2018-04-06";"8:00";892,816,380;Jardim Paulista;Tina;Marly;"5";true;true;true;false;true;false;false;false;false;
"2018-04-06";"2018-04-06";"13:30";892,794,426;Mirandópolis;Isadora;Rosana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"12:15";892,819,369;Vila Leopoldina;Rodolfo;Camila;"5";true;true;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"15:00";892,787,709;Vila Anglo Brasileira;Luciane;Marcia;"5";false;true;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"16:15";892,821,244;Flamengo;Bruno;Fabio;"4";false;false;false;false;false;false;false;false;false;cozinha muito mínima
"2018-04-06";"2018-04-06";"16:30";892,806,206;Jardim Londrina;Rodrigo;Edson;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"12:00";892,818,600;Barra da Tijuca;Roberta;Amarildo;"4";false;false;false;false;false;false;false;false;false;a varanda não chega a ser uma varanda, ela é fechada e faz parte da sala. estamos buscando uma varanda aberta.
"2018-04-06";"2018-04-06";"10:45";892,824,523;Cidade Monções;Thiago;Pablo;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"9:00";892,822,688;Cidade Monções;Thiago;Cleonice;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"15:45";892,813,580;Paraíso;Hideki;Guilherme;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"16:15";892,821,244;Flamengo;Andrea;Fabio;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"13:15";892,820,390;Centro;Filipe;Paulo;"5";true;false;true;true;true;false;false;false;false;prédio antigo, mas apartamento muito bom, alguns detalhes para realizar porém poucas coisas. não tem vaga de garagem então há propagando enganosa por parte do proprietário e do QuintoAndar..Verifiquem
"2018-04-06";"2018-04-06";"14:45";892,816,601;Centro;#VALUE!;Karina;"5";true;true;true;false;true;false;false;false;false;
"2018-04-06";"2018-04-06";"14:45";892,780,170;Vila Mascote;Rebeca;Rosana;"5";false;false;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"9:00";892,822,488;Consolação;Ricardo;Walter;"5";true;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"9:00";892,822,488;Consolação;Ricardo;Walter;"5";true;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"11:30";892,820,913;Bela Vista;Naraline;Mauro;"3";false;false;false;false;false;true;false;false;false;
"2018-04-02";"2018-04-02";"10:45";892,818,994;Centro;Nilda;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"2018-04-06";"9:30";892,819,938;Botafogo;Nilda;Mauro;"5";true;true;false;false;true;false;false;false;false;
